name;description
Web-программист;Отвечает за разработку интернет-ресурса. Это одно из главных лиц интернет-маркетинга, без его знаний и умений было бы невозможно воплотить в жизнь идеи создателей проекта. В отличие от маркетологов и дизайнеров, которые должны придумать, что должен представлять собой сайт, web-программисту необходимо продумать, как это можно осуществить и, собственно, воплотить идеи в жизнь.
SEO-специалист;Отвечает за оптимизацию сайта с целью его продвижения в поисковых системах. Результатом хорошей работы сеошника является высокое место в поисковой выдаче, рост количества внешних переходов, улучшение поведенческих факторов и всё то, что в конечном счёте приводит к росту прибыльности проекта за счёт продвижения в Сети.
SMM-специалист;Прикладывает усилия для раскрутки бренда или продукта в социальных сетях, привлекая различными средствами подписчиков и пассивных распространителей информации посредством репостов и лайков. Он же отвечает за активное взаимодействие с пользователями социалок.
Контент-менеджер;Редактор сайта в широком смысле, отвечающий за наполнение и информационную составляющую ресурса. Курирует работу копирайтеров, редакторов, корректоров, взаимодействует с дизайнерами и верстальщиками. В задачи контент-менеджера входит оперативное отслеживание изменений пользовательских интересов, а также новых веяний в информационном пространстве.
Копирайтер;Автор текстового контента, работающий в связке с контент-менеджером. Тексты должны отвечать ряду требований: соответствовать заданной тематике, характеру целевой аудитории, содержать ключевые фразы, быть уникальными и отвечать технических параметрам, установленным заказчиком.
Линкбилдер;Формирует ссылочный профиль сайта, отвечая за рост трафика.
Link-менеджер;Специализируется на покупке, продаже и обмене ссылками с целью эффективного продвижения интернет-ресурсов. 
Web-аналитик;Собирает и анализирует данные о поведении посетителей интернет-сайта, полученная с его помощью информация позволяет внести коррективы в работу ресурса с целью повышения эффективности продвижения. По сути, этот специалист оценивает качество действий SEO-специалиста и других участников команды, которые трудятся на благо владельца сайта.
Юзабилист;Делает жизнь пользователя на сайте максимально комфортной. С его помощью качество ресурса и отдача от его функционирования увеличиваются за счёт проработки наиболее удобного интерфейса.
Верстальщик;Воплощает в реальность идеи по внешнему гармоничному наполнению сайта контентом.
Модератор;Следит за корректным общением посетителей, соответствующим утверждённым правилам площадки или группы, отвечает за блокировку и разблокировку аккаунтов, удаление комментариев и постов, нарушающих правила взаимодействия между пользователями.
Таргетолог;Привлекает внимание пользователей к бренду или продукту с помощью грамотной настройки таргетинговой рекламы за счёт показа информации целевой аудитории.
Контекстолог;Специалист контекстной рекламы, работа которого основана на формировании семантического ядра, составлении рекламных объявлений и настройки кампании по продвижению.
IT-евангелист;Занимается активным продвижением IT-продуктов в широкие массы. Его задача - эффективное пропагандирование решений из мира информационных технологий с целью повсеместного внедрения их в нашу жизнь и создание. Такой проповедник религии IT.
Тимлид;Руководитель команды разработки IT-продукта. Взаимодействует с заказчиком и конечными исполнителями, являясь связующим звеном между ними. Отвечает за весь процесс разработки.
